TRIFD,ID,ADDRESS
64120ZCRPR3101G,24002,3101 GARDNER AVE MO 64120
64126BTLRM7400E,24003,7400 E 13TH ST MO 64126
6412WCSTMT771EC,24012,7701 E INDEPENDENCE AVENUE MO 64125
64132MLLRM2405E,24027,2405 E 85TH ST MO 64132
6450WLTCND397S4,24094,3907 S 48TH TER MO 64503
6504WWMNVR415KA,24193,415 KAISER INDUSTRIAL DRIVE MO 65047
6510WJFFRS187VA,24210,1807 VALLEY HI RD MO 65109
65201DLDVP3015L,24214,3015 LEMONE INDUSTRIAL BLVD MO 65201
65254BBMNN400IN,24234,400 IND US TRIAL DR MO 65254
6527WRSCHL1251C,24244,1251 COUNTY ROAD 1217 MO 65270
65301KLSYH3610W,24250,3610 W MAIN ST MO 65301
6540WCTLYT127CU,24276,10027 COUNTY ROAD 2020 MO 65401
60624CHCGT4459W,22816,4459 W LAKE ST IL 60624
60650WSTTW5243W,22906,5243 W 25TH PL IL 60804
61032KLLYS3769R,22998,3769 RT 20 E IL 61032
61201NTRST17107,23124,1710 78TH ST IL 61201
6120WNPRSL42218,23129,4221 81ST AVE W IL 61201
61265JHNDR5013R,23149,501 RIVER DR IL 61265
61277PNBRTPOBOX,23160,320 LOCUST ST IL 61277
61362RNKNNWOLFE,23191,9 WOLFER INDUSTRIAL PARK IL 61362
6175WLDCST1EDIX,23281,1000 E DIXIE RD IL 61754
62201CNTRT231MN,23392,231 MONSANTO AVE IL 62201
62243MWGMN501DO,23424,501 W APPLE ST IL 62243
6240WFFNGH15HEA,23468,1500 HEARTLAND BLVD IL 62401
62568GSRGP1200E,23504,1200 E ELM ST IL 62568
62839MNWXC14IND,23546,14 INDUSTRIAL PARK IL 62839
62896CRWNL11884,23559,11884 COUNTRY CLUB RD IL 62896
63132BYLSG1461K,23732,1461 KIN-ARK CT MO 63132
6336WCMCRB1478H,23795,1478 HOFF INDUSTRIAL DR MO 63366
63401CNTNNHIGHW,23814,10107 HWY 79 MO 63401
6350WWRRNC42WNR,23830,402 W NORTHTOWN RD MO 63501
64029GTSGL2712D,23910,2712 DILLINGHAM RD MO 64029
6405WFRTRR21421,23933,21421 E TRUMAN RD MO 64056
6412WGRPNT161SB,24014,1601 SOUTHERN RD MO 64120
64633RBSLNONEMU,24103,1 MUNICIPAL DR MO 64633
6467WCMCST679SE,24110,6790 SE YANKEE RIDGE RD MO 64671
64747MMTTC31E28,24127,30001 E 286TH TERRACE MO 64747
65020SNDSTPOBOX,24186,221 SUNSET DR MO 65020
65101DLNGSDIXAN,24201,301 DIX RD MO 65109
6510WBSTBL223EM,24208,2203 E MCCARTY ST MO 65101
65201MCLMB5400R,24215,5400 RT B MO 65202
65301CPRND305NO,24247,305 N STATE FAIR BLVD MO 65301
6530WDWRDS31197,24263,31197 WINGATE RD MO 65301
6545WNDCCB2CMME,24285,200 COMMERCE DR MO 65453
63147TRNSC419EA,23765,419 E DE SOTO AVE MO 63147
6415WXDTCH761NW,24051,7601 NW 107TH TER MO 64153
6370WMDSTH271CR,23858,2071 CORPORATE CIRCLE MO 63703
